"forcename","offencedescription","totaltheftoffenses"
"Gwent","Attempted residential burglary ofÂ unconnected building","15"
"London, City of","Aggravated Burglary Business and Community","15"
"Cambridgeshire","Aggravated burglary in a dwelling","15"
"Staffordshire","Aggravated burglary in a building other than a dwelling(outcome only)","15"
"South Wales","Aggravated Burglary Business and Community","14"
"Humberside","Aggravated Burglary Business and Community","14"
"North Wales","Aggravated burglary in a dwelling","14"
"South Yorkshire","Attempted distraction burglary in a dwelling (outcome only)","14"
"Wiltshire","Attempted Distraction Burglary Residential","14"
"Norfolk","Attempted Distraction Burglary Residential","14"
"Devon and Cornwall","Aggravated burglary in a building other than a dwelling(outcome only)","14"
"Cambridgeshire","Aggravated burglary - residential (home)","14"
"Dyfed-Powys","Aggravated Burglary Business and Community","14"
"Cheshire","Aggravated burglary - residential (home)","13"
"Avon and Somerset","Attempted distraction burglary in a dwelling","13"
"Suffolk","Attempted Distraction Burglary Residential","13"
"Lincolnshire","Attempted Distraction Burglary Residential","13"
"Gloucestershire","Attempted residential burglary ofÂ unconnected building","13"
"Wiltshire","Aggravated burglary in a building other than a dwelling(outcome only)","13"
"South Wales","Attempted distraction burglary in a dwelling (outcome only)","13"
"North Yorkshire","Attempted distraction burglary in a dwelling (outcome only)","13"
"South Yorkshire","Aggravated burglary in a dwelling","13"
"Suffolk","Attempted residential burglary ofÂ unconnected building","13"
"Metropolitan Police","Attempted distraction burglary - residential (home)","13"
"Merseyside","Aggravated burglary - residential (home)","13"
"Durham","Aggravated burglary - residential (home)","12"
"Lincolnshire","Aggravated Burglary Business and Community","12"
"Hertfordshire","Attempted Distraction Burglary Residential","12"
"Thames Valley","Aggravated burglary - residential (home)","12"
"West Mercia","Attempted distraction burglary in a dwelling (outcome only)","12"
"Lincolnshire","Aggravated burglary in a dwelling","12"
"Warwickshire","Attempted residential burglary ofÂ unconnected building","12"
"Warwickshire","Attempted Distraction Burglary Residential","12"
"Cheshire","Attempted Distraction Burglary Residential","12"
"Cleveland","Distraction burglary - residential (home)","12"
"Lincolnshire","Attempted residential burglary ofÂ unconnected building","12"
"Staffordshire","Aggravated burglary in a dwelling","12"
"Humberside","Aggravated burglary in a building other than a dwelling(outcome only)","12"
"South Wales","Aggravated burglary in a building other than a dwelling(outcome only)","12"
"Thames Valley","Attempted distraction burglary in a dwelling","12"
"Suffolk","Aggravated burglary in a dwelling","12"
"Durham","Aggravated Burglary Business and Community","12"
"Suffolk","Distraction burglary in a dwelling","12"
"Nottinghamshire","Attempted distraction burglary in a dwelling (outcome only)","11"
"Hertfordshire","Aggravated burglary - residential (home)","11"
"Gwent","Attempted distraction burglary in a dwelling (outcome only)","11"
"Humberside","Attempted Distraction Burglary Residential","11"
"Norfolk","Aggravated burglary - residential (home)","11"
"North Yorkshire","Aggravated burglary in a dwelling","11"
"Bedfordshire","Attempted distraction burglary in a dwelling (outcome only)","11"
"Nottinghamshire","Aggravated burglary in a building other than a dwelling(outcome only)","11"
"Norfolk","Aggravated burglary in a building other than a dwelling(outcome only)","11"
"Gloucestershire","Attempted distraction burglary in a dwelling (outcome only)","11"
"Northamptonshire","Distraction burglary - residential (home)","11"
"Greater Manchester","Aggravated burglary in a building other than a dwelling","10"
"West Yorkshire","Attempted distraction burglary in a dwelling","10"
"North Wales","Aggravated Burglary Business and Community","10"
"Derbyshire","Distraction burglary - residential (home)","10"
"Bedfordshire","Attempted residential burglary ofÂ unconnected building","10"
"Cambridgeshire","Aggravated burglary in a building other than a dwelling(outcome only)","10"
"Bedfordshire","Aggravated burglary - residential (home)","10"
"Durham","Aggravated burglary in a dwelling","10"
"North Yorkshire","Attempted residential burglary ofÂ unconnected building","10"
"Essex","Attempted distraction burglary in a dwelling (outcome only)","10"
"Cheshire","Attempted distraction burglary in a dwelling","10"
"West Mercia","Aggravated burglary in a dwelling","10"
"Northamptonshire","Aggravated burglary in a dwelling","10"
"Cumbria","Aggravated Burglary Business and Community","10"
"Northumbria","Attempted Distraction Burglary Residential","10"
"Humberside","Aggravated burglary - residential (home)","10"
"South Yorkshire","Attempted distraction burglary in a dwelling","10"
"Derbyshire","Aggravated burglary in a dwelling","9"
"South Yorkshire","Aggravated burglary in a building other than a dwelling(outcome only)","9"
"Lincolnshire","Aggravated burglary - residential (home)","9"
"South Wales","Attempted distraction burglary in a dwelling","9"
"British Transport Police","Burglary Residential","9"
"Gloucestershire","Aggravated burglary in a dwelling","9"
"South Wales","Aggravated burglary - residential (home)","9"
"Cheshire","Attempted distraction burglary in a dwelling (outcome only)","9"
"Suffolk","Aggravated burglary in a building other than a dwelling(outcome only)","9"
"Greater Manchester","Attempted distraction burglary in a dwelling","9"
"Leicestershire","Distraction burglary - residential (home)","9"
"Cumbria","Attempted residential burglary ofÂ unconnected building","9"
"Gwent","Aggravated Burglary Business and Community","9"
"Hertfordshire","Aggravated burglary in a dwelling","9"
"Merseyside","Aggravated burglary in a building other than a dwelling","8"
"West Midlands","Aggravated burglary in a building other than a dwelling","8"
"Staffordshire","Aggravated burglary - residential (home)","8"
"Wiltshire","Aggravated Burglary Business and Community","8"
"Suffolk","Attempted distraction burglary in a dwelling (outcome only)","8"
"North Yorkshire","Aggravated Burglary Business and Community","8"
"West Yorkshire","Distraction burglary - residential (home)","8"
"Northumbria","Attempted distraction burglary in a dwelling (outcome only)","8"
"North Wales","Attempted Distraction Burglary Residential","8"
"Norfolk","Distraction burglary in a dwelling","8"
"Dyfed-Powys","Aggravated burglary in a dwelling (outcome only)","8"
"West Mercia","Aggravated burglary in a building other than a dwelling(outcome only)","8"
"Derbyshire","Attempted distraction burglary in a dwelling (outcome only)","8"
"London, City of","Dishonest use of electricity","8"
"Cumbria","Aggravated burglary in a dwelling","8"
"Dorset","Aggravated burglary in a building other than a dwelling(outcome only)","7"
"Greater Manchester","Distraction burglary - residential (home)","7"
"Lincolnshire","Aggravated burglary in a building other than a dwelling(outcome only)","7"
"British Transport Police","Blackmail","7"
"Greater Manchester","Attempted distraction burglary - residential (home)","7"
"Northamptonshire","Aggravated burglary - residential (home)","7"
"Dorset","Aggravated burglary in a dwelling","7"
"Sussex","Attempted distraction burglary in a dwelling","7"
"London, City of","Aggravated vehicle taking","7"
"North Yorkshire","Aggravated burglary in a building other than a dwelling(outcome only)","7"
"Cambridgeshire","Distraction burglary - residential (home)","7"
"Northumbria","Aggravated burglary in a building other than a dwelling(outcome only)","7"
"South Wales","Aggravated burglary in a building other than a dwelling","6"
"Devon and Cornwall","Aggravated burglary in a building other than a dwelling","6"
"Sussex","Distraction burglary - residential (home)","6"
"Dorset","Aggravated burglary - residential (home)","6"
"Kent","Distraction burglary - residential (home)","6"
"Norfolk","Attempted distraction burglary in a dwelling (outcome only)","6"
"Hampshire","Distraction burglary - residential (home)","6"
"Devon and Cornwall","Distraction burglary - residential (home)","6"
"Northamptonshire","Aggravated burglary in a building other than a dwelling(outcome only)","6"
"Derbyshire","Aggravated burglary in a building other than a dwelling(outcome only)","6"
"Surrey","Aggravated burglary - residential (home)","6"
"Northamptonshire","Attempted distraction burglary in a dwelling","6"
"Staffordshire","Attempted distraction burglary in a dwelling","6"
"Thames Valley","Distraction burglary - residential (home)","6"
"Surrey","Attempted distraction burglary in a dwelling","6"
"Cumbria","Distraction burglary in a dwelling","6"
"Suffolk","Attempted distraction burglary in a dwelling","6"
"Gwent","Aggravated burglary in a building other than a dwelling(outcome only)","5"
"Durham","Aggravated burglary in a building other than a dwelling(outcome only)","5"
"Sussex","Aggravated burglary in a building other than a dwelling","5"
"Lancashire","Distraction burglary - residential (home)","5"
"Gwent","Aggravated burglary - residential (home)","5"
"Leicestershire","Aggravated burglary in a building other than a dwelling","5"
"Nottinghamshire","Attempted distraction burglary in a dwelling","5"
"Cambridgeshire","Attempted distraction burglary in a dwelling (outcome only)","5"
"Staffordshire","Distraction burglary - residential (home)","5"
"Durham","Attempted distraction burglary in a dwelling (outcome only)","5"
"South Yorkshire","Distraction burglary - residential (home)","5"
"Hampshire","Attempted distraction burglary in a dwelling","5"
"Norfolk","Aggravated burglary in a dwelling","5"
"Durham","Attempted Distraction Burglary Residential","5"
"Wiltshire","Aggravated burglary - residential (home)","5"
"Kent","Attempted distraction burglary in a dwelling","5"
"Cumbria","Attempted distraction burglary in a dwelling (outcome only)","5"
"Cumbria","Aggravated burglary in a building other than a dwelling(outcome only)","5"
"Suffolk","Aggravated burglary - residential (home)","5"
"Gloucestershire","Aggravated burglary in a building other than a dwelling(outcome only)","5"
"Lancashire","Attempted distraction burglary in a dwelling (outcome only)","5"
"Hertfordshire","Aggravated burglary in a building other than a dwelling(outcome only)","5"
"Humberside","Attempted distraction burglary in a dwelling","4"
"Gloucestershire","Attempted distraction burglary in a dwelling","4"
"West Midlands","Aggravated burglary - residential (unconnected building)","4"
"Devon and Cornwall","Attempted Distraction Burglary Residential","4"
"Surrey","Aggravated burglary in a building other than a dwelling","4"
"Essex","Distraction burglary - residential (home)","4"
"Gloucestershire","Aggravated burglary - residential (home)","4"
"London, City of","Attempted burglary in a dwelling","4"
"Cleveland","Aggravated burglary in a building other than a dwelling(outcome only)","4"
"Warwickshire","Attempted distraction burglary in a dwelling (outcome only)","4"
"West Midlands","Attempted distraction burglary - residential (home)","4"
"North Wales","Attempted distraction burglary in a dwelling (outcome only)","4"
"Dorset","Attempted distraction burglary in a dwelling","4"
"Dorset","Attempted distraction burglary in a dwelling (outcome only)","4"
"Norfolk","Attempted residential burglary ofÂ unconnected building","4"
"Thames Valley","Aggravated burglary in a building other than a dwelling","4"
"Sussex","Distraction burglary - residential (unconnected building)","4"
"Lincolnshire","Attempted distraction burglary in a dwelling","4"
"Avon and Somerset","Distraction burglary - residential (home)","4"
"Merseyside","Distraction burglary - residential (home)","4"
"North Wales","Aggravated burglary in a building other than a dwelling(outcome only)","3"
"Warwickshire","Aggravated burglary in a building other than a dwelling(outcome only)","3"
"Merseyside","Attempted distraction burglary in a dwelling","3"
"Essex","Attempted distraction burglary in a dwelling","3"
"British Transport Police","Aggravated burglary in a building other than a dwelling(outcome only)","3"
"Wiltshire","Attempted distraction burglary in a dwelling","3"
"Derbyshire","Attempted distraction burglary in a dwelling","3"
"West Mercia","Distraction burglary - residential (home)","3"
"Dorset","Aggravated burglary in a building other than a dwelling","3"
"Gwent","Distraction burglary - residential (home)","3"
"North Yorkshire","Aggravated burglary - residential (home)","3"
"Staffordshire","Aggravated burglary in a building other than a dwelling","3"
"Suffolk","Aggravated burglary in a building other than a dwelling","3"
"Cambridgeshire","Attempted distraction burglary in a dwelling","3"
"Avon and Somerset","Aggravated burglary in a building other than a dwelling","3"
"Devon and Cornwall","Aggravated burglary - residential (unconnected building)","3"
"Derbyshire","Aggravated burglary - residential (home)","3"
"Dyfed-Powys","Distraction burglary in a dwelling","3"
"Devon and Cornwall","Attempted distraction burglary - residential (home)","3"
"Durham","Distraction burglary - residential (home)","3"
"Lincolnshire","Attempted distraction burglary in a dwelling (outcome only)","3"
"Dorset","Distraction burglary - residential (home)","3"
"North Wales","Aggravated burglary - residential (home)","3"
"Nottinghamshire","Distraction burglary - residential (home)","3"
"Gloucestershire","Distraction burglary - residential (home)","3"
"West Yorkshire","Aggravated burglary - residential (unconnected building)","3"
"London, City of","Aggravated burglary in a building other than a dwelling(outcome only)","3"
"Thames Valley","Aggravated burglary - residential (unconnected building)","3"
"Greater Manchester","Distraction burglary - residential (unconnected building)","3"
"Dyfed-Powys","Attempted residential burglary ofÂ unconnected building","3"
"Humberside","Distraction burglary - residential (home)","3"
"Dyfed-Powys","Aggravated burglary in a dwelling","2"
"Sussex","Attempted distraction burglary - residential (home)","2"
"Suffolk","Distraction burglary - residential (home)","2"
"Northumbria","Distraction burglary - residential (home)","2"
"West Yorkshire","Aggravated burglary in a building other than a dwelling","2"
"Dyfed-Powys","Aggravated burglary - residential (home)","2"
"North Wales","Attempted distraction burglary in a dwelling","2"
"Thames Valley","Attempted distraction burglary - residential (home)","2"
"Leicestershire","Attempted distraction burglary in a dwelling","2"
"South Wales","Aggravated burglary - residential (unconnected building)","2"
"London, City of","Distraction burglary in a dwelling (outcome only)","2"
"Metropolitan Police","Distraction burglary - residential (unconnected building)","2"
"Nottinghamshire","Attempted distraction burglary - residential (home)","2"
"Lancashire","Attempted distraction burglary in a dwelling","2"
"Bedfordshire","Aggravated burglary in a building other than a dwelling(outcome only)","2"
"Hampshire","Attempted distraction burglary - residential (home)","2"
"Hertfordshire","Distraction burglary - residential (home)","2"
"North Yorkshire","Attempted Distraction Burglary Residential","2"
"Cambridgeshire","Aggravated burglary in a building other than a dwelling","2"
"Cheshire","Aggravated burglary in a building other than a dwelling","2"
"South Yorkshire","Aggravated burglary - residential (unconnected building)","2"
"Lancashire","Aggravated burglary in a building other than a dwelling","2"
"Bedfordshire","Aggravated burglary in a building other than a dwelling","2"
"Gloucestershire","Aggravated burglary in a building other than a dwelling","2"
"Surrey","Distraction burglary - residential (home)","2"
"North Wales","Aggravated burglary in a building other than a dwelling","2"
"Cleveland","Aggravated burglary in a building other than a dwelling","2"
"West Mercia","Attempted distraction burglary in a dwelling","2"
"Cumbria","Aggravated burglary - residential (home)","2"
"Dyfed-Powys","Aggravated burglary in a building other than a dwelling(outcome only)","2"
"Lincolnshire","Aggravated burglary in a building other than a dwelling","2"
"Cambridgeshire","Attempted distraction burglary - residential (home)","2"
"British Transport Police","Burglary in a dwelling(outcome only)","2"
"Devon and Cornwall","Distraction burglary - residential (unconnected building)","2"
"Warwickshire","Aggravated burglary - residential (home)","2"
"Hampshire","Aggravated burglary in a building other than a dwelling","2"
"Northumbria","Attempted distraction burglary in a dwelling","2"
"Humberside","Aggravated burglary - residential (unconnected building)","2"
"Cheshire","Distraction burglary - residential (home)","2"
"Avon and Somerset","Aggravated burglary - residential (unconnected building)","2"
"South Wales","Distraction burglary - residential (home)","2"
"Humberside","Aggravated burglary in a building other than a dwelling","2"
"North Wales","Attempted residential burglary ofÂ unconnected building","2"
"Norfolk","Attempted distraction burglary in a dwelling","1"
"London, City of","Aggravated burglary in a dwelling (outcome only)","1"
"Cumbria","Distraction burglary - residential (unconnected building)","1"
"Northamptonshire","Aggravated burglary in a building other than a dwelling","1"
"Durham","Attempted distraction burglary in a dwelling","1"
"Humberside","Attempted distraction burglary - residential (home)","1"
"West Yorkshire","Attempted distraction burglary - residential (unconnected building)","1"
"Cleveland","Aggravated burglary - residential (unconnected building)","1"
"Staffordshire","Aggravated burglary - residential (unconnected building)","1"
"Dyfed-Powys","Aggravated burglary - residential (unconnected building)","1"
"Lancashire","Attempted distraction burglary - residential (home)","1"
"Merseyside","Attempted distraction burglary - residential (home)","1"
"Northumbria","Attempted distraction burglary - residential (unconnected building)","1"
"South Yorkshire","Aggravated burglary in a building other than a dwelling","1"
"London, City of","Residential burglary of a home","1"
"London, City of","Distraction burglary - residential (home)","1"
"Derbyshire","Attempted distraction burglary - residential (home)","1"
"Essex","Aggravated burglary in a building other than a dwelling","1"
"Northumbria","Aggravated burglary in a building other than a dwelling","1"
"Sussex","Aggravated burglary - residential (unconnected building)","1"
"Hampshire","Aggravated burglary - residential (unconnected building)","1"
"Cleveland","Attempted distraction burglary - residential (home)","1"
"Norfolk","Distraction burglary - residential (home)","1"
"Staffordshire","Attempted distraction burglary - residential (home)","1"
"Dorset","Distraction burglary - residential (unconnected building)","1"
"Cumbria","Attempted Distraction Burglary Residential","1"
"Bedfordshire","Distraction burglary - residential (home)","1"
"Thames Valley","Distraction burglary - residential (unconnected building)","1"
"South Yorkshire","Attempted distraction burglary - residential (home)","1"
"Lincolnshire","Distraction burglary - residential (home)","1"
"London, City of","Attempted residential burglary ofÂ unconnected building","1"
"Northamptonshire","Attempted distraction burglary - residential (home)","1"
"British Transport Police","Burglary in a dwelling","1"
"Cheshire","Attempted distraction burglary - residential (home)","1"
"Derbyshire","Aggravated burglary in a building other than a dwelling","1"
"Cumbria","Distraction burglary - residential (home)","1"
"London, City of","Attempted residential burglary of a home","1"
"North Yorkshire","Aggravated burglary in a building other than a dwelling","1"
"Suffolk","Aggravated burglary - residential (unconnected building)","1"
"Dyfed-Powys","Attempted distraction burglary - residential (home)","1"
"London, City of","Distraction Burglary Residential","1"
"British Transport Police","Attempted burglary in a dwelling","1"
"West Mercia","Aggravated burglary - residential (unconnected building)","1"
"Kent","Aggravated burglary in a building other than a dwelling","1"
"Nottinghamshire","Aggravated burglary in a building other than a dwelling","1"
"Cumbria","Attempted distraction burglary in a dwelling","0"
"Essex","Aggravated burglary - residential (unconnected building)","0"
"Dorset","Attempted residential burglary of a home","0"
"North Wales","Attempted distraction burglary - residential (home)","0"
"Cleveland","Attempted distraction burglary - residential (unconnected building)","0"
"British Transport Police","Attempted distraction burglary - residential (unconnected building)","0"
"Leicestershire","Aggravated burglary - residential (unconnected building)","0"
"North Yorkshire","Attempted distraction burglary in a dwelling","0"
"Nottinghamshire","Distraction burglary - residential (unconnected building)","0"
"London, City of","Distraction burglary - residential (unconnected building)","0"
"Wiltshire","Attempted distraction burglary - residential (home)","0"
"Hertfordshire","Distraction burglary - residential (unconnected building)","0"
"London, City of","Residential burglary ofÂ unconnected building","0"
"Bedfordshire","Aggravated burglary - residential (unconnected building)","0"
"Gwent","Attempted distraction burglary - residential (unconnected building)","0"
"Warwickshire","Attempted distraction burglary - residential (unconnected building)","0"
"British Transport Police","Attempted residential burglary of a home","0"
"Gloucestershire","Aggravated burglary - residential (unconnected building)","0"
"Avon and Somerset","Attempted distraction burglary - residential (home)","0"
"Dyfed-Powys","Attempted distraction burglary - residential (unconnected building)","0"
"Cleveland","Attempted distraction burglary in a dwelling","0"
"Devon and Cornwall","Attempted distraction burglary - residential (unconnected building)","0"
"Norfolk","Distraction burglary - residential (unconnected building)","0"
"Humberside","Distraction burglary - residential (unconnected building)","0"
"Northamptonshire","Attempted distraction burglary - residential (unconnected building)","0"
"Lancashire","Distraction burglary - residential (unconnected building)","0"
"British Transport Police","Attempted Burglary Residential","0"
"Essex","Distraction burglary - residential (unconnected building)","0"
"Cambridgeshire","Distraction burglary - residential (unconnected building)","0"
"London, City of","Distraction burglary in a dwelling","0"
"Hampshire","Distraction burglary - residential (unconnected building)","0"
"Dyfed-Powys","Attempted distraction burglary in a dwelling (outcome only)","0"
"Merseyside","Distraction burglary - residential (unconnected building)","0"
"Leicestershire","Attempted distraction burglary - residential (home)","0"
"West Midlands","Attempted distraction burglary - residential (unconnected building)","0"
"Warwickshire","Aggravated burglary in a building other than a dwelling","0"
"British Transport Police","Attempted burglary in a dwelling (outcome only)","0"
"Devon and Cornwall","Attempted distraction burglary in a dwelling (outcome only)","0"
"London, City of","Attempted distraction burglary - residential (unconnected building)","0"
"Hertfordshire","Attempted distraction burglary in a dwelling (outcome only)","0"
"Northumbria","Aggravated burglary - residential (home)","0"
"Dyfed-Powys","Distraction burglary - residential (home)","0"
"Surrey","Aggravated burglary - residential (unconnected building)","0"
"Derbyshire","Attempted distraction burglary - residential (unconnected building)","0"
"Derbyshire","Distraction burglary - residential (unconnected building)","0"
"Surrey","Distraction burglary - residential (unconnected building)","0"
"British Transport Police","Aggravated burglary - residential (home)","0"
"Suffolk","Attempted distraction burglary - residential (home)","0"
"British Transport Police","Aggravated Burglary Residential","0"
"Kent","Attempted distraction burglary - residential (home)","0"
"Staffordshire","Distraction burglary - residential (unconnected building)","0"
"Metropolitan Police","Attempted distraction burglary - residential (unconnected building)","0"
"West Mercia","Distraction burglary - residential (unconnected building)","0"
"Leicestershire","Attempted distraction burglary - residential (unconnected building)","0"
"Cumbria","Attempted distraction burglary - residential (unconnected building)","0"
"Wiltshire","Aggravated burglary - residential (unconnected building)","0"
"Norfolk","Aggravated burglary in a building other than a dwelling","0"
"Devon and Cornwall","Aggravated burglary - residential (home)","0"
"Lincolnshire","Attempted distraction burglary - residential (home)","0"
"North Wales","Attempted distraction burglary - residential (unconnected building)","0"
"Dyfed-Powys","Aggravated burglary in a building other than a dwelling","0"
"Cambridgeshire","Aggravated burglary - residential (unconnected building)","0"
"British Transport Police","Distraction burglary - residential (home)","0"
"Gloucestershire","Attempted Burglary Residential","0"
"Dorset","Attempted distraction burglary - residential (unconnected building)","0"
"London, City of","Attempted Distraction Burglary Residential","0"
"Wiltshire","Attempted distraction burglary - residential (unconnected building)","0"
"Dorset","Aggravated burglary - residential (unconnected building)","0"
"Staffordshire","Attempted distraction burglary - residential (unconnected building)","0"
"British Transport Police","Aggravated Burglary Business and Community","0"
"Greater Manchester","Aggravated burglary - residential (unconnected building)","0"
"British Transport Police","Theft in a dwelling other than from an automatic machine or meter","0"
"Warwickshire","Aggravated burglary - residential (unconnected building)","0"
"Lincolnshire","Attempted distraction burglary - residential (unconnected building)","0"
"Bedfordshire","Attempted distraction burglary in a dwelling","0"
"Cumbria","Aggravated burglary - residential (unconnected building)","0"
"Leicestershire","Distraction burglary - residential (unconnected building)","0"
"Durham","Aggravated burglary - residential (unconnected building)","0"
"Bedfordshire","Attempted distraction burglary - residential (home)","0"
"South Wales","Attempted distraction burglary - residential (home)","0"
"Nottinghamshire","Aggravated burglary - residential (unconnected building)","0"
"Lancashire","Aggravated burglary - residential (unconnected building)","0"
"British Transport Police","Attempted Burglary Business and Community","0"
"Dorset","Attempted Distraction Burglary Residential","0"
"South Wales","Attempted distraction burglary - residential (unconnected building)","0"
"Northamptonshire","Distraction burglary - residential (unconnected building)","0"
"British Transport Police","Aggravated burglary in a dwelling (outcome only)","0"
"Cheshire","Aggravated burglary - residential (unconnected building)","0"
"Warwickshire","Attempted distraction burglary in a dwelling","0"
"Gwent","Aggravated burglary - residential (unconnected building)","0"
"Merseyside","Aggravated burglary - residential (unconnected building)","0"
"Gwent","Attempted distraction burglary in a dwelling","0"
"British Transport Police","Distraction burglary - residential (unconnected building)","0"
"London, City of","Attempted distraction burglary in a dwelling (outcome only)","0"
"Durham","Attempted distraction burglary - residential (home)","0"
"South Wales","Attempted residential burglary ofÂ unconnected building","0"
"British Transport Police","Attempted distraction burglary in a dwelling (outcome only)","0"
"South Yorkshire","Distraction burglary - residential (unconnected building)","0"
"Wiltshire","Distraction burglary - residential (unconnected building)","0"
"Kent","Distraction burglary - residential (unconnected building)","0"
"West Mercia","Attempted distraction burglary - residential (home)","0"
"British Transport Police","Aggravated burglary in a dwelling","0"
"Gloucestershire","Attempted Distraction Burglary Residential","0"
"Cleveland","Distraction burglary - residential (unconnected building)","0"
"Northumbria","Distraction burglary - residential (unconnected building)","0"
"Essex","Attempted distraction burglary - residential (home)","0"
"Metropolitan Police","Aggravated burglary - residential (unconnected building)","0"
"Gwent","Aggravated burglary in a building other than a dwelling","0"
"London, City of","Attempted distraction burglary - residential (home)","0"
"Devon and Cornwall","Attempted distraction burglary in a dwelling","0"
"Cambridgeshire","Attempted distraction burglary - residential (unconnected building)","0"
"Durham","Attempted distraction burglary - residential (unconnected building)","0"
"British Transport Police","Aggravated burglary - residential (unconnected building)","0"
"Warwickshire","Attempted distraction burglary - residential (home)","0"
"North Wales","Aggravated burglary - residential (unconnected building)","0"
"Dorset","Attempted distraction burglary - residential (home)","0"
"Thames Valley","Attempted distraction burglary - residential (unconnected building)","0"
"Durham","Aggravated burglary in a building other than a dwelling","0"
"British Transport Police","Attempted distraction burglary - residential (home)","0"
"Gloucestershire","Attempted distraction burglary - residential (unconnected building)","0"
"Merseyside","Attempted distraction burglary - residential (unconnected building)","0"
"North Yorkshire","Attempted distraction burglary - residential (unconnected building)","0"
"Norfolk","Attempted distraction burglary - residential (unconnected building)","0"
"London, City of","Aggravated burglary in a dwelling","0"
"Wiltshire","Aggravated burglary in a building other than a dwelling","0"
"Avon and Somerset","Attempted distraction burglary - residential (unconnected building)","0"
"Kent","Attempted distraction burglary - residential (unconnected building)","0"
"London, City of","Aggravated burglary in a building other than a dwelling","0"
"West Midlands","Distraction burglary - residential (unconnected building)","0"
"Dyfed-Powys","Distraction burglary - residential (unconnected building)","0"
"British Transport Police","Attempted Distraction Burglary Residential","0"
"Hampshire","Attempted distraction burglary - residential (unconnected building)","0"
"Hertfordshire","Attempted distraction burglary - residential (home)","0"
"North Yorkshire","Attempted distraction burglary - residential (home)","0"
"Dorset","Attempted residential burglary ofÂ unconnected building","0"
"Northamptonshire","Aggravated burglary - residential (unconnected building)","0"
"Suffolk","Distraction burglary - residential (unconnected building)","0"
"Hertfordshire","Attempted distraction burglary - residential (unconnected building)","0"
"Kent","Aggravated burglary - residential (unconnected building)","0"
"West Yorkshire","Attempted distraction burglary - residential (home)","0"
"South Wales","Distraction burglary - residential (unconnected building)","0"
"West Mercia","Aggravated burglary in a building other than a dwelling","0"
"British Transport Police","Distraction Burglary Residential","0"
"Cheshire","Distraction burglary - residential (unconnected building)","0"
"Hertfordshire","Attempted distraction burglary in a dwelling","0"
"London, City of","Aggravated burglary - residential (home)","0"
"Northumbria","Aggravated burglary - residential (unconnected building)","0"
"West Mercia","Attempted distraction burglary - residential (unconnected building)","0"
"Durham","Distraction burglary - residential (unconnected building)","0"
"British Transport Police","Distraction burglary in a dwelling (outcome only)","0"
"North Yorkshire","Distraction burglary - residential (unconnected building)","0"
"North Yorkshire","Distraction burglary - residential (home)","0"
"Dyfed-Powys","Attempted distraction burglary in a dwelling","0"
"Norfolk","Aggravated burglary - residential (unconnected building)","0"
"London, City of","Aggravated Burglary Residential","0"
"North Wales","Distraction burglary - residential (home)","0"
"Surrey","Attempted distraction burglary - residential (unconnected building)","0"
"Wiltshire","Distraction burglary - residential (home)","0"
"London, City of","Attempted distraction burglary in a dwelling","0"
"British Transport Police","Attempted residential burglary ofÂ unconnected building","0"
"Lincolnshire","Aggravated burglary - residential (unconnected building)","0"
"Greater Manchester","Attempted distraction burglary - residential (unconnected building)","0"
"Norfolk","Attempted distraction burglary - residential (home)","0"
"Essex","Attempted distraction burglary - residential (unconnected building)","0"
"Humberside","Attempted distraction burglary - residential (unconnected building)","0"
"Bedfordshire","Distraction burglary - residential (unconnected building)","0"
"Gloucestershire","Attempted Burglary Business and Community","0"
"Sussex","Attempted distraction burglary - residential (unconnected building)","0"
"British Transport Police","Residential burglary of a home","0"
"British Transport Police","Attempted distraction burglary in a dwelling","0"
"Warwickshire","Distraction burglary - residential (unconnected building)","0"
"Derbyshire","Aggravated burglary - residential (unconnected building)","0"
"South Yorkshire","Attempted distraction burglary - residential (unconnected building)","0"
"Dyfed-Powys","Attempted Distraction Burglary Residential","0"
"Gwent","Distraction burglary - residential (unconnected building)","0"
"West Yorkshire","Distraction burglary - residential (unconnected building)","0"
"Lincolnshire","Distraction burglary - residential (unconnected building)","0"
"Avon and Somerset","Distraction burglary - residential (unconnected building)","0"
"Hertfordshire","Aggravated burglary - residential (unconnected building)","0"
"British Transport Police","Residential burglary ofÂ unconnected building","0"
"Nottinghamshire","Attempted distraction burglary - residential (unconnected building)","0"
"London, City of","Aggravated burglary - residential (unconnected building)","0"
"North Yorkshire","Aggravated burglary - residential (unconnected building)","0"
"British Transport Police","Distraction burglary in a dwelling","0"
"British Transport Police","Aggravated burglary in a building other than a dwelling","0"
"Gwent","Attempted distraction burglary - residential (home)","0"
"Cumbria","Aggravated burglary in a building other than a dwelling","0"
"North Wales","Distraction burglary - residential (unconnected building)","0"
"Suffolk","Attempted distraction burglary - residential (unconnected building)","0"
"Gloucestershire","Distraction burglary - residential (unconnected building)","0"
"Cumbria","Attempted distraction burglary - residential (home)","0"
"Cheshire","Attempted distraction burglary - residential (unconnected building)","0"
"Hertfordshire","Aggravated burglary in a building other than a dwelling","0"
"Lancashire","Attempted distraction burglary - residential (unconnected building)","0"
"Surrey","Attempted distraction burglary - residential (home)","0"
"Northumbria","Attempted distraction burglary - residential (home)","0"
"Gloucestershire","Attempted distraction burglary - residential (home)","0"
