"forcename","offencedescription","totalviolentoffenses"
"West Yorkshire","Intentional destruction of a viable unborn child","5"
"West Yorkshire","Procuring illegal abortion","4"
"West Yorkshire","Causing death by careless or inconsiderate driving","4"
"West Yorkshire","Causing death by aggravated vehicle taking","3"
"West Yorkshire","Causing death by driving: unlicensed drivers etc.","1"
"West Yorkshire","Causing death by careless driving under influence of drink or drugs","1"
"West Yorkshire","Cruelty to and neglect of children (outcomes only)","0"
"West Yorkshire","Actually bodily harm and other injury(outcomes only)","0"
"West Yorkshire","Possession of items to endanger life(outcomes only)","0"
"West Yorkshire","Endangering railway passengers (outcomes only)","0"
"West Yorkshire","Use of substance or object to endanger life (outcomes only)","0"
"West Yorkshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"West Yorkshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"West Yorkshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"West Yorkshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"West Yorkshire","Abandoning child under two years (outcomes only)","0"
"West Yorkshire","Endangering life at sea (outcomes only)","0"
"West Yorkshire","Poisoning or female genital mutilation (outcomes only)","0"
"Wiltshire","Assault with injury","56656"
"Wiltshire","Assault without injury","53743"
"Wiltshire","Assault without injury on a constable","2033"
"Wiltshire","Assault with intent to cause serious harm","1529"
"Wiltshire","Threats to kill","824"
"Wiltshire","Cruelty to children/young persons","813"
"Wiltshire","Racially or religiously aggravated assault without injury","493"
"Wiltshire","Assault with injury on a constable","397"
"Wiltshire","Modern slavery","380"
"Wiltshire","Kidnapping","378"
"Wiltshire","Racially or religiously aggravated assault with injury","277"
"Wiltshire","Assaults on emergency workers (other than constables)","190"
"Wiltshire","Harassment","185"
"Wiltshire","Child abduction","55"
"Wiltshire","Attempted murder","41"
"Wiltshire","Endangering life","36"
"Wiltshire","Conspiracy to murder","4"
"Wiltshire","Causing or allowing death of child or vulnerable person","3"
"Wiltshire","Causing death by careless or inconsiderate driving","2"
"Wiltshire","Causing death by dangerous driving","1"
"Wiltshire","Racially or religiously aggravated harassment","1"
"Wiltshire","Intentional destruction of a viable unborn child","1"
"Wiltshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Wiltshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Wiltshire","Cruelty to and neglect of children (outcomes only)","0"
"Wiltshire","Causing death by careless driving under influence of drink or drugs","0"
"Wiltshire","Procuring illegal abortion","0"
"Wiltshire","Endangering railway passengers (outcomes only)","0"
"Wiltshire","Causing death by aggravated vehicle taking","0"
"Wiltshire","Endangering life at sea (outcomes only)","0"
"Wiltshire","Abandoning child under two years (outcomes only)","0"
"Wiltshire","Causing death by driving: unlicensed drivers etc.","0"
"Wiltshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Wiltshire","Actually bodily harm and other injury(outcomes only)","0"
"Wiltshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Wiltshire","Poisoning or female genital mutilation (outcomes only)","0"
"Wiltshire","Use of substance or object to endanger life (outcomes only)","0"
"Wiltshire","Possession of items to endanger life(outcomes only)","0"
